Temporada,Minutos,Rebotes,Assistencias,Bloqueios,Desarmes,Faltas,Tunovers,Pontos,FG_Tentativas,FG_Acertos,3PT_Tentativas,3PT_Acertos,FT_Tentativas,FT_Acertos,Adversario,Placar,V_D,Casa_Fora,Dia_semana,Mes,%FG,%3PT,%FT
2023,25.0,10.0,4.0,3.0,2.0,1.0,8.0,14.0,13,7,2,0,1,0,HOU,124-103,D,fora,2,4,0.54,0.0,0.0
2023,35.0,17.0,12.0,2.0,0.0,3.0,3.0,25.0,11,8,0,0,11,9,PHI,116-111,V,casa,1,3,0.73,,0.82
2023,32.0,6.0,11.0,0.0,1.0,2.0,3.0,31.0,20,10,6,1,11,10,MIL,129-106,V,casa,6,3,0.5,0.17,0.91
2023,34.0,12.0,7.0,0.0,3.0,1.0,2.0,31.0,16,12,3,2,5,5,WSH,118-104,V,fora,2,3,0.75,0.67,1.0
2023,36.0,17.0,10.0,0.0,2.0,5.0,1.0,22.0,12,9,0,0,4,4,BKN,108-102,V,fora,6,3,0.75,,1.0
2023,37.0,10.0,8.0,1.0,0.0,2.0,6.0,24.0,18,11,5,1,1,1,NY,116-110,D,fora,5,3,0.61,0.2,1.0
2023,33.0,10.0,9.0,1.0,1.0,2.0,1.0,30.0,18,14,1,0,3,2,DET,119-100,V,fora,3,3,0.78,0.0,0.67
2023,35.0,8.0,7.0,0.0,1.0,3.0,4.0,28.0,13,10,1,0,8,8,TOR,125-110,D,fora,1,3,0.77,0.0,1.0
2023,39.0,20.0,11.0,2.0,2.0,2.0,3.0,35.0,23,14,1,0,10,7,BKN,122-120,D,casa,6,3,0.61,0.0,0.7
2023,39.0,11.0,11.0,0.0,3.0,2.0,5.0,37.0,24,14,6,4,6,5,SA,128-120,D,fora,5,3,0.58,0.67,0.83
2023,35.0,12.0,8.0,0.0,0.0,1.0,5.0,18.0,16,7,9,3,4,1,CHI,117-96,D,casa,3,3,0.44,0.33,0.25
2023,36.0,13.0,9.0,1.0,0.0,1.0,4.0,17.0,8,5,1,1,6,6,TOR,118-113,V,casa,1,3,0.62,1.0,1.0
2023,35.0,18.0,10.0,1.0,0.0,5.0,2.0,18.0,10,7,0,0,6,4,MEM,113-97,V,casa,5,3,0.7,,0.67
2023,28.0,11.0,10.0,0.0,0.0,2.0,4.0,14.0,11,7,0,0,1,0,HOU,133-112,V,fora,2,3,0.64,,0.0
2023,42.0,17.0,10.0,0.0,3.0,2.0,1.0,40.0,21,14,1,0,15,12,LAC,134-124,V,casa,0,2,0.67,0.0,0.8
2023,27.0,13.0,3.0,0.0,0.0,1.0,3.0,15.0,11,7,0,0,1,1,MEM,112-94,D,fora,6,2,0.64,,1.0
